,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic,Label_en
0,5.0,131.0,Хроматография,0.5621865391731262,Q170050,STEM.Medicine_&_Health,131.0,34453.65554260099,17.0,3032.0,2.810932695865631,STEM,Medicine_&_Health,Chromatography
1,2.0,151.0,Оптический микроскоп,0.26285186409950256,Q912313,STEM.Technology,151.0,0.0,17.0,2946.0,0.5257037281990051,STEM,Technology,Optical microscope
2,9.0,159.0,Масс-спектрометрия,0.320831298828125,Q180809,STEM.Chemistry,159.0,94345.16327997274,17.0,3286.0,2.887481689453125,STEM,Chemistry,Mass spectrometry
3,1.0,576.0,"Пинкертон, Алан",0.4843900501728058,Q365650,History_and_Society.Politics_and_government,576.0,0.0,0.0,2288.0,0.4843900501728058,History_and_Society,Politics_and_government,"Pinkerton, Alan"
4,2.0,578.0,"Хонеккер, Эрих",0.546748161315918,Q2607,History_and_Society.Politics_and_government,578.0,11515.660913058171,21.0,2929.0,1.093496322631836,History_and_Society,Politics_and_government,"Honecker, Erich"
5,2.0,580.0,"Бернстайн, Леонард",0.946606695652008,Q152505,Culture.Media.Music,580.0,0.0,0.0,2210.0,1.893213391304016,Culture,Music,"Bernstein, Leonard"
6,6.0,911.0,Вычислительная сеть,0.21734751760959625,Q1301371,STEM.Technology,911.0,73753.82724427749,1.0,2648.0,1.3040851056575775,STEM,Technology,Computing network
7,7.0,979.0,SMS,0.41490885615348816,Q43024,STEM.Technology,979.0,26028.348507675826,1.0,3088.0,2.904361993074417,STEM,Technology,SMS
8,3.0,1179.0,"Филозов, Альберт Леонидович",0.3276783227920532,Q3391400,History_and_Society.Society,1179.0,9719.74939097519,8.0,2199.0,0.9830349683761596,History_and_Society,Society,"Filozov, Albert Leonidovich"
9,6.0,1404.0,Библиотека,0.10088862478733064,Q7075,STEM.Libraries_&_Information,1404.0,42789.781968233285,7.0,2901.0,0.6053317487239839,STEM,Libraries_&_Information,Library
10,4.0,1640.0,"Черкасов, Николай Константинович",0.6001983880996704,Q713014,History_and_Society.Society,1640.0,7492.445559394431,24.0,2580.0,2.4007935523986816,History_and_Society,Society,"Cherkasov, Nikolay Konstantinovich"
11,43.0,2477.0,"Антоник, Владимир Владимирович",0.2120788097381592,Q1717612,History_and_Society.Society,2477.0,833734.2003168309,0.0,3030.0,9.119388818740847,History_and_Society,Society,"Antonik, Vladimir Vladimirovich"
12,2.0,2481.0,Фромборк,0.9994907379150392,Q497115,Geography.Regions.Europe.Eastern_Europe,2481.0,4528.0,5.0,1240.0,0.0,Geography,Eastern_Europe,Frombork
13,6.0,2587.0,Теория множеств,0.3415925204753876,Q12482,Culture.Philosophy_and_religion,2587.0,56393.86651245567,17.0,2790.0,2.049555122852325,Culture,Philosophy_and_religion,Set theory
14,6.0,2611.0,Сент-Винсент и Гренадины,0.1097157895565033,Q757,History_and_Society.Politics_and_government,2611.0,83016.89151322015,5.0,2681.0,0.6582947373390198,History_and_Society,Politics_and_government,Saint Vincent and the Grenadines
15,5.0,2768.0,Коморы,0.1259327530860901,Q970,History_and_Society.Society,2768.0,25625.41291961869,4.0,2846.0,0.6296637654304504,History_and_Society,Society,Comoros
16,1.0,2927.0,Журавушка,0.9173126816749572,Q4181853,Culture.Media.Films,2927.0,0.0,8.0,1254.0,0.9173126816749572,Culture,Films,Crane
17,12.0,3042.0,Плутарх,0.9324633479118348,Q41523,Culture.Philosophy_and_religion,3042.0,151629.7932125675,7.0,3153.0,11.189560174942017,Culture,Philosophy_and_religion,Plutarch
18,2.0,3078.0,Хрисипп,0.9919480085372924,Q211411,Culture.Philosophy_and_religion,3078.0,4528.0,7.0,2766.0,1.9838960170745847,Culture,Philosophy_and_religion,Chrysippus
19,6.0,3484.0,"Миних, Бурхард Кристоф",0.6442351341247559,Q61710,History_and_Society.Military_and_warfare,3484.0,33014.28844306637,4.0,2714.0,3.865410804748535,History_and_Society,Military_and_warfare,"Munnich, Burchard Christoph"
20,3.0,3641.0,Учкудук,0.9830951094627379,Q6364,Geography.Regions.Asia.Central_Asia,3641.0,5131.948199393669,12.0,2387.0,0.0,Geography,Central_Asia,Uchkuduk
21,6.0,4094.0,Тутаев,0.9855064153671264,Q196724,History_and_Society.Society,4094.0,47418.35523813005,1.0,4019.0,5.913038492202758,History_and_Society,Society,Tutaev
22,7.0,4456.0,Японское море,0.3923468291759491,Q27092,History_and_Society.Society,4456.0,48195.753468088085,13.0,2963.0,2.746427804231644,History_and_Society,Society,Japanese Sea
23,4.0,4540.0,Домен верхнего уровня,0.8872146010398865,Q14296,STEM.Computing,4540.0,28609.356185532037,2.0,3732.0,3.5488584041595463,STEM,Computing,Top level domain
24,2.0,4619.0,Векторное пространство,0.11280541121959685,Q125977,STEM.Technology,4619.0,9054.0,26.0,2435.0,0.2256108224391937,STEM,Technology,Vector space
